	지점명	아파트명	주소	준공년월	세대
231	스타벅스 북오산IC DT점	서동탄역더샵파크시티	경기 오산시 문시로 183-19	2019.07	2400
232	스타벅스 경기광주쌍령DT점	광주역대광로제비앙아파트	경기 광주시 경충대로 1430	2018.03	265
233	스타벅스 전주효자DT점	LH세븐팰리스아파트	전북 전주시 완산구 우전로 180	2013.12	560
234	스타벅스 경기광주신현DT점	e편한세상태재1단지아파트	경기 광주시 오포읍 태재로 20-15	2018.07	480
235	스타벅스 구미도량DT점	구미도량뜨란채5단지아파트	경북 구미시 도봉로 67	2006.03	686
236	스타벅스 김해진영DT점	대한아파트	경남 김해시 진영읍 여래로20번길 64-63	1995.06	100
237	스타벅스 대전도안DT점	유성푸르지오시티	대전 유성구 온천로 45	2014.08	696
238	스타벅스 대전가수원DT점	계룡아파트	대전 서구 가수원로 98	1986.05	780
239	스타벅스 과천DT점	과천주공8단지아파트	경기 과천시 부림로 2	1983.08	1400
240	스타벅스 하남미사DT점	미사강변센트럴자이아파트	경기 하남시 미사강변대로 95	2017.02	1222
241	스타벅스 천안두정역DT점	두정대우1차아파트	충남 천안시 서북구 봉정로 365	1996.12	1038
242	스타벅스 전주평화DT점	평화동우미아파트	전북 전주시 완산구 모악로 4685	1996.06	603
243	스타벅스 속초DT점	부영5단지아파트	강원 속초시 청대로204번길 40	1995.07	1030
244	스타벅스 울산중리사거리DT점	평창현대3차아파트	울산 남구 삼산중로128번길 21	1995.10	782
245	스타벅스 리버사이드팔당DTR점	한강우성아파트	경기 남양주시 와부읍 덕소로 270	1998.07	1488
