	loc_name	address	num_review	latitude	longitude
233	봉수대해변	강원도 고성군 죽왕면 심층수길	35629	38.3306346	128.5253947
234	반암해변	강원도 고성군 거진읍 반암길	35282	38.421536	128.4625954
235	초도해변	강원도 고성군 현내면 초도항길	30523	38.4866677	128.4350569
236	대진1리해변	강원도 고성군 현내면 한나루로4길 1	27926	38.5032952	128.4235858
237	공현진1리해변	강원도 고성군 죽왕면 공현진해변길	32529	38.355459	128.5100407
238	문암2리해변	강원도 고성군 죽왕면 괘진길	27477	38.2956755	128.5473191
239	연대도 해수욕장	경상남도 통영시 산양읍 연대길	4044	34.736773	128.3965552
240	판교공원	경기도 성남시 분당구 운중로225번길 37	0	37.3918506	127.0908622
241	아미르공원	부산광역시 영도구 동삼동	0	35.0744236	129.069341
242	구조라해수욕장	경상남도 거제시 일운면 거제대로	62791	34.8182217	128.6880866
243	청간해변	강원도 고성군 토성면 청간정길	31418	38.2662789	128.5563243
244	함목몽돌해변	경상남도 거제시 남부면 함목길	34938	34.7403972	128.6518925
245	벌영리 메타세콰이어길	경상북도 영덕군 영해면	0	36.5374936	129.4071538
246	추암해변	강원도 동해시 촛대바위길 26	86167	37.4772001	129.1591099
247	안목해변	강원도 강릉시 창해로14번길 20-1	53753	37.7725933	128.9472775
248	동두천자연휴양림	경기도 동두천시 탑동가산로 1	0	37.9034112	127.0605075
249	증산해변(증산 해수욕장)	강원도 삼척시 증산동	30219	37.4706014	129.1570881
250	원평해변(원평해수욕장)	강원도 삼척시 근덕면 궁촌길 628-22	30139	37.3004606	129.2712626
251	초곡해수욕장	강원도 삼척시 근덕면 초곡2길	24089	37.308952	129.2871709
252	신남해변	강원 삼척시 원덕읍 신남길	24955	37.2654444	129.3263081
253	백도해변	강원도 고성군 죽왕면 백도해변길	32966	38.300076	128.5452742
254	옥계해변	강원도 강릉시 옥계면 금진솔밭길 104-32	36981	37.6279111	129.048167
255	사근진해변(사근진해수욕장)	강원도 강릉시 해안로604번길 16	38975	37.8126601	128.8988879
256	문암1리해변 (자작도)	강원도 고성군 죽왕면 자작도선사길	33478	38.3071759	128.5424323
257	삼포2리해변	강원도 고성군 죽왕면 삼포해변길	23725	38.315194	128.5338671
258	정동진해변	강원도 강릉시 강동면 정동역길 17	101252	37.6911646	129.0330457
